R,Nome,Squadra,Fm,Punteggio
C,Sensi,Inter,0.0,0.0
C,Haas,Empoli,5.0,0.0
C,Henderson L.,Empoli,0.0,0.0
C,Maggiore,Salernitana,5.5,5.5
C,Romero L.,Milan,6.0,0.0
C,Asllani,Inter,6.0,0.0
C,Kourfalidis,Cagliari,0.0,0.0
C,Tchaouna,Salernitana,5.75,6.0
C,Bondo,Monza,6.25,0.0
C,Suslov,Verona,5.62,0.0
C,Coulibaly M.,Salernitana,0.0,0.0
C,Vignato,Bologna,0.0,0.0
C,Valoti,Monza,0.0,0.0
C,Bourabia,Frosinone,0.0,0.0
C,Adopo,Atalanta,6.25,0.0
C,Maldini,Empoli,0.0,0.0
C,Kovalenko,Empoli,5.5,0.0
C,Ranocchia F.,Empoli,5.5,0.0
C,Sulemana I.,Cagliari,5.33,0.0
C,Gineitis,Torino,6.0,6.0
C,Amatucci,Fiorentina,5.5,0.0
C,Gelli,Frosinone,5.75,0.0
C,Infantino,Fiorentina,5.5,0.0
C,Pagano,Roma,6.0,0.0
C,Legowski,Salernitana,5.3,6.0
C,Prati,Cagliari,5.5,5.5
C,Ibrahimovic A.,Frosinone,6.0,6.0
C,D'alessandro,Monza,0.0,0.0
C,Lulic K.,Frosinone,0.0,0.0
C,Benassi,Fiorentina,0.0,0.0
C,Rog,Cagliari,0.0,0.0
C,Melegoni,Genoa,0.0,0.0
C,Crociata,Empoli,0.0,0.0
C,Nicolussi Caviglia,Juventus,0.0,0.0
C,Jagiello,Genoa,5.0,0.0
C,Obiang,Sassuolo,0.0,0.0
C,Demme,Napoli,0.0,0.0
C,Quina,Udinese,0.0,0.0
C,Akpa Akpro,Monza,0.0,0.0
C,Urbanski,Bologna,6.0,0.0
C,Basic,Lazio,0.0,0.0
C,Volpato,Sassuolo,0.0,0.0
C,Pyyhtia,Bologna,0.0,0.0
C,Pafundi,Udinese,0.0,0.0
C,Helgason,Lecce,0.0,0.0
C,Hrustic,Verona,0.0,0.0
C,Zerbin,Napoli,0.0,0.0
C,Ilkhan,Torino,0.0,0.0
C,Degli Innocenti,Empoli,0.0,0.0
C,Carboni V.,Monza,0.0,0.0
C,Faticanti,Lecce,0.0,0.0
C,Belardinelli,Empoli,0.0,0.0
C,Zarraga,Udinese,5.0,0.0
C,Camara E.,Udinese,0.0,0.0
C,Lella,Cagliari,0.0,0.0
C,Haoudi,Frosinone,0.0,0.0
